,,loss,loss,mse,mse,mse,mse,nll,nll,nll,nll
model_type,,benchmark,proposed,benchmark,benchmark,proposed,proposed,benchmark,benchmark,proposed,proposed
data_type,,train,train,test,train,test,train,test,train,test,train
eps,c,,,,,,,,,,
0.2,1e-06,-0.6601176857948303,2.1305830478668213,0.08067626,0.01779783,0.7047213,0.09851013,79.90613,54.411167,7.2935624,5.866299
0.2,3.5938136638046257e-06,-0.6326723098754883,2.1308083534240723,0.08008936,0.015526868,0.88708854,0.036545563,71.081535,49.004436,7.406936,5.962414
0.2,1.2915496650148827e-05,-0.6097342371940613,2.130201816558838,0.09128987,0.013574267,0.5715194,0.18152674,57.78566,40.51001,7.4161224,5.9598494
0.2,4.641588833612782e-05,-0.6773426532745361,2.1302921772003174,0.09930257,0.015272295,0.3700005,0.17485009,70.64365,49.21488,7.2987185,5.867572
0.2,0.0001668100537200059,-0.6240299940109253,2.130229949951172,0.12585056,0.015261546,0.47584176,0.17993154,64.343094,46.467033,7.4767694,6.0056505
0.2,0.0005994842503189409,-0.6608391404151917,2.1305508613586426,0.09590099,0.015987335,0.59143496,0.16867119,59.250786,42.125767,7.2928333,5.862258
0.2,0.0021544346900318843,-0.6298203468322754,2.130869150161743,0.11518553,0.017979827,0.5754252,0.036415126,46.717182,35.28224,7.46056,5.9988565
0.2,0.007742636826811277,-0.5527125597000122,2.131101608276367,0.1556021,0.029918537,0.7296855,0.16321763,31.389805,25.645334,7.2957144,5.869647
0.2,0.02782559402207126,-0.5937193036079407,2.1335718631744385,0.13133441,0.017128207,0.36164522,0.17751655,22.147621,18.994797,7.258808,5.83464
0.2,0.1,-0.5722243785858154,2.1406757831573486,0.14167891,0.025884027,0.49426702,0.18628043,16.18176,14.25415,7.016263,5.6383147
0.25,1e-06,-0.4411693513393402,2.122910261154175,0.14688228,0.037410986,1.6407504,0.043335006,42.592766,29.06534,6.668125,5.380785
0.25,3.5938136638046257e-06,-0.4188215434551239,2.1227824687957764,0.15988734,0.026411125,0.5488265,0.024470557,45.005722,30.91773,6.882837,5.556335
0.25,1.2915496650148827e-05,-0.4329356849193573,2.122981548309326,0.10712757,0.02388515,1.8067895,0.033720687,46.384857,32.036655,6.8387156,5.532715
0.25,4.641588833612782e-05,-0.4603920876979828,2.122976779937744,0.11929901,0.021362837,1.5519545,0.0595757,41.71667,28.559898,6.8572,5.543238
0.25,0.0001668100537200059,-0.453092485666275,2.123411178588867,0.12820533,0.024666514,1.571426,0.044652306,38.898254,27.27138,6.8779454,5.558361
0.25,0.0005994842503189409,-0.43546029925346375,2.122762441635132,0.10440046,0.03258826,0.5048745,0.031411905,41.6566,28.609245,6.6679583,5.3801203
0.25,0.0021544346900318843,-0.38632145524024963,2.123340606689453,0.09986018,0.022726323,1.3653071,0.048357494,34.00786,24.169672,6.917016,5.58788
0.25,0.007742636826811277,-0.40611517429351807,2.123509645462036,0.12365148,0.025665352,0.7672688,0.037181236,25.771776,19.762287,6.798962,5.4878845
0.25,0.02782559402207126,-0.40942758321762085,2.1254866123199463,0.11321303,0.03114264,1.9015671,0.051021535,18.122847,14.812089,6.764184,5.465663
0.25,0.1,-0.3729856014251709,2.132380723953247,0.119752504,0.0225135,1.5495008,0.036101967,14.379647,12.252402,6.672544,5.391918
0.30000000000000004,1e-06,-0.2622425854206085,2.1142337322235107,0.12758487,0.03895898,4.436067,0.5447344,43.17861,28.73392,6.2012005,5.0283446
0.30000000000000004,3.5938136638046257e-06,-0.19665749371051788,2.114179849624634,0.13852295,0.035257433,4.0876,0.40526322,34.68512,24.443356,6.3378625,5.1456585
0.30000000000000004,1.2915496650148827e-05,-0.2524956464767456,2.114288091659546,0.15917593,0.036393564,3.3027568,0.3795678,34.56371,24.281626,6.321867,5.1276937
0.30000000000000004,4.641588833612782e-05,-0.2772594094276428,2.1139910221099854,0.10757872,0.03739646,3.871369,0.2503108,36.58458,24.886475,6.202275,5.037087
0.30000000000000004,0.0001668100537200059,-0.2822863757610321,2.1140973567962646,0.14272168,0.035628174,1.6419895,0.22334963,36.167126,24.786165,6.2087984,5.031348
0.30000000000000004,0.0005994842503189409,-0.1466015726327896,2.1145200729370117,0.12862359,0.035344783,4.3222084,0.3703431,33.87538,24.027294,6.3038416,5.116212
0.30000000000000004,0.0021544346900318843,-0.19875754415988922,2.1142706871032715,0.14727062,0.031569496,2.4063845,0.2181315,26.337645,19.760143,6.244383,5.061924
